88500 on 30/4/2020
88500 on 30/4/2020
87962 on 1/5/2020
87000 on 2/5/2020
87600 on 14/5/2020
89800 on 7/6/2020
91600 on 19/6/2020
92398 on 21/6/2020
95300 on 29/6/2020
95754 on 3/7/2020
96561 on 15/7/2020
96764 on 19/7/2020
102200 on 27/7/2020
102200 on 27/7/2020
104000 on 30/7/2020
104000 on 30/7/2020
106300 on 4/8/2020
106300 on 4/8/2020
106300 on 4/8/2020
109700 on 10/8/2020
104500 on 27/8/2020
103200 on 3/9/2020
103200 on 3/9/2020
103100 on 6/9/2020
94783 on 16/9/2020
95424 on 19/9/2020
92308 on 30/9/2020
100200 on 6/10/2020
100200 on 8/10/2020
92216 on 11/10/2020
89179 on 1/11/2020
95700 on 9/12/2020
